  30.          53.90030887  24.20896217  23.90030887
  35.          43.72701334  17.33312958   8.72701334
  40.          43.39281887  11.04230337   3.39281887
  45.          46.89137291   7.38351926   1.9328857 
  50.          51.5757278    6.63483665   1.68564321
  55.          56.24405832   6.17948555   1.48661362
  60.          60.71938681   6.24188907   0.92532316
  65.          66.03356854   5.78615894   1.29568079
  70.          71.59286956   4.99567828   1.61598775
  75.          76.39433687   4.66869515   1.50748271
  80.          80.71689551   3.13520677   0.76972019
  85.          85.30646987   2.94688718   0.58904717
  90.          89.63891937   1.285198     0.36108063

