  30.          57.40579887  19.85149164  27.40579887
  35.          56.22496174  19.17900845  21.22496174
  40.          56.37974028  17.87060977  16.37974028
  45.          56.94260641  16.61616775  11.94260641
  50.          58.01650145  15.31062145   8.01650145
  55.          59.21837254  15.31747583   4.2435412 
  60.          60.97739773  14.75299111   1.96424366
  65.          64.40002334  14.68828372   1.59239999
  70.          66.98660317  15.60849771   3.22027118 
  75.          69.8018472   16.78440434   5.3032172 
  80.          72.5091342   17.0745041    7.4908658 
  85.          74.74568106  17.14480138  10.25431894
  90.          76.42848342  16.388244    13.57151658
