   3.00000000e+01   2.89730291e+01   1.64627597e+00   1.77651834e+00
   3.50000000e+01   3.49484295e+01   1.62248916e+00   1.11597058e+00
   4.00000000e+01   4.04034199e+01   1.63946286e+00   8.42263476e-01
   4.50000000e+01   4.59459908e+01   1.43376976e+00   9.45990845e-01
   5.00000000e+01   5.08776330e+01   5.94245834e-01   8.77632956e-01
   5.50000000e+01   5.62583574e+01   3.44862385e-02   1.25835745e+00
   6.00000000e+01   6.17574424e+01   2.91663183e-01   1.76344244e+00
   6.50000000e+01   6.66292500e+01   6.79059769e-01   2.22775000e+00
   7.00000000e+01   7.10392500e+01   1.52327112e+00   2.08225000e+00
   7.50000000e+01   7.33410000e+01   1.85886386e-01   1.86900000e+00
   8.00000000e+01   7.87500000e+01   0.00000000e+00   1.25000000e+00
   8.50000000e+01   8.43750000e+01   1.42108547e-14   6.25000000e-01
   9.00000000e+01   9.00000000e+01   0.00000000e+00   0.00000000e+00
